1787040629633338880,0.89322,1.01038,0.15306,0.57862,-0.20822,0.37732,-0.69244,0.90735,0.06110,-0.03700,
1787040629700006912,0.94196,1.01285,0.13861,0.57122,-0.20161,0.37451,-0.70200,0.95474,0.03545,-0.11634,
1787040629766674944,1.00202,1.01321,0.12158,0.56535,-0.19394,0.37476,-0.70875,1.00297,0.02180,-0.11309,
1787040629833338880,1.08814,1.01190,0.11319,0.56127,-0.18447,0.37568,-0.71401,1.09184,-0.02678,0.02879,
1787040629900006912,1.17696,1.00566,0.11907,0.56051,-0.17050,0.37905,-0.71630,1.11095,-0.11742,0.25535,
1787040629966672896,1.25126,0.98991,0.13357,0.55602,-0.16146,0.38846,-0.71685,1.03676,-0.20643,0.32929,
1787040630033339904,1.33008,0.96997,0.15206,0.54508,-0.15557,0.39903,-0.72074,0.95648,-0.29932,0.33981,
1787040630100006144,1.40230,0.94964,0.17130,0.53307,-0.14814,0.40731,-0.72663,0.92176,-0.36315,0.19183,
1787040630166671872,1.47855,0.92214,0.17174,0.52631,-0.13521,0.41766,-0.72820,0.95960,-0.42456,-0.01704,
1787040630233339136,1.55948,0.89049,0.15873,0.52457,-0.11961,0.42571,-0.72752,1.03924,-0.45946,-0.15531,
1787040630300007168,1.65670,0.85908,0.14204,0.52309,-0.10860,0.43207,-0.72657,1.15796,-0.46875,-0.20291,
1787040630366672128,1.74556,0.82613,0.12344,0.52159,-0.10528,0.43345,-0.72731,1.23846,-0.48841,-0.11363,
1787040630433339136,1.83009,0.79324,0.12091,0.52009,-0.10992,0.43067,-0.72934,1.27007,-0.52143,0.04499,
1787040630500005120,1.92099,0.75907,0.12201,0.52223,-0.12053,0.43098,-0.72595,1.27737,-0.49421,0.19709,
1787040630566673920,2.00441,0.72817,0.13989,0.52330,-0.12950,0.42685,-0.72608,1.22956,-0.43980,0.37056,
1787040630633338880,2.10024,0.69889,0.15479,0.52003,-0.14143,0.42663,-0.72633,1.29405,-0.39326,0.35776,
1787040630700007936,2.18868,0.67375,0.17117,0.51665,-0.15708,0.42485,-0.72656,1.31444,-0.35858,0.16427,
1787040630766671872,2.28486,0.65003,0.16320,0.51864,-0.16934,0.41605,-0.72749,1.36139,-0.36101,-0.02755,
1787040630833339904,2.37253,0.62678,0.14639,0.52284,-0.18113,0.40904,-0.72562,1.40913,-0.40593,-0.19993,
1787040630900005120,2.48698,0.59593,0.12696,0.52710,-0.18766,0.40889,-0.72094,1.49693,-0.41518,-0.23069,
1787040630966671104,2.56947,0.57547,0.11068,0.53267,-0.19514,0.40682,-0.71602,1.52805,-0.38643,-0.10342,
1787040631033339904,2.67432,0.54679,0.11241,0.53634,-0.20003,0.40632,-0.71221,1.54843,-0.44542,0.16168,
1787040631100006144,2.77199,0.51642,0.12106,0.53599,-0.20650,0.41538,-0.70536,1.46936,-0.50976,0.25737,
1787040631166671872,2.86443,0.47963,0.14048,0.53617,-0.20354,0.42129,-0.70257,1.35837,-0.60147,0.32638,
1787040631233338112,2.95106,0.43826,0.15145,0.53620,-0.19889,0.43305,-0.69670,1.29846,-0.60480,0.19082,
1787040631300007168,3.02974,0.39642,0.15884,0.53842,-0.19026,0.43621,-0.69543,1.24260,-0.61654,-0.02953,
1787040631366672128,3.12068,0.34959,0.14557,0.54161,-0.17664,0.43410,-0.69786,1.30000,-0.62591,-0.21643,
1787040631433339136,3.20082,0.31121,0.13013,0.54537,-0.17339,0.42765,-0.69973,1.34672,-0.64209,-0.27605,
1787040631500006912,3.27550,0.26785,0.11301,0.55343,-0.17209,0.42088,-0.69783,1.35772,-0.66500,-0.14941,
1787040631566672128,3.36606,0.22681,0.10884,0.56220,-0.17815,0.40845,-0.69668,1.38506,-0.64625,0.04220,
1787040631633337856,3.45840,0.18641,0.11666,0.57601,-0.18961,0.39497,-0.69011,1.36386,-0.54442,0.24094,
1787040631700006912,3.53811,0.15489,0.13695,0.58843,-0.19684,0.38109,-0.68540,1.38909,-0.48177,0.37141,
1787040631766673152,3.63169,0.12286,0.15725,0.59666,-0.20994,0.38395,-0.67268,1.42677,-0.42635,0.27936,
1787040631833338880,3.72778,0.09369,0.16489,0.59900,-0.22551,0.38992,-0.66204,1.43270,-0.38481,0.03040,
1787040631900006144,3.83557,0.06190,0.15436,0.60043,-0.23752,0.39410,-0.65403,1.52695,-0.40785,-0.20222,
1787040631966672896,3.94729,0.03078,0.13192,0.59532,-0.25200,0.40844,-0.64441,1.56565,-0.38387,-0.30304,
1787040632033339136,4.06074,0.00106,0.11160,0.59155,-0.25719,0.41237,-0.64334,1.57909,-0.36060,-0.18967,
1787040632100006144,4.18368,-0.02996,0.10513,0.58944,-0.25430,0.40635,-0.65021,1.60907,-0.40083,0.02211,
1787040632166671872,4.28619,-0.05767,0.11254,0.58362,-0.24660,0.41192,-0.65491,1.56364,-0.45000,0.17864,
1787040632233338112,4.38109,-0.08539,0.12911,0.58308,-0.24390,0.41226,-0.65618,1.45457,-0.46517,0.31656,
1787040632300005888,4.48323,-0.12110,0.14879,0.58498,-0.24262,0.42165,-0.64896,1.39380,-0.51343,0.26677,
1787040632366671104,4.57055,-0.15196,0.16084,0.58848,-0.23515,0.42713,-0.64495,1.33284,-0.44416,0.07319,
1787040632433339136,4.65671,-0.17892,0.16065,0.59290,-0.22765,0.41951,-0.64857,1.35404,-0.37567,-0.11077,
